city,station_name,lat,lon,utc_time,pm25,temp,blh,sp,wind_spd,rh,AOD
Bengaluru,"Peenya, Bengaluru - CPCB",13.0270199,77.494094,2026-01-05 09:00:00+00:00,10.53,21.374383544921898,796.95849609375,91173.9453125,4.225358964327853,92.39654037436505,0.5014322996139526
Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",12.921418,77.502466,2025-10-08 12:45:00+00:00,33.0,21.374383544921898,796.95849609375,91173.9453125,4.225358964327853,92.39654037436505,
Mumbai,"Sanpada, Navi Mumbai - MPCB",19.0575752,73.0151367,2025-11-03 05:45:00+00:00,22.05,25.407586669921898,505.20849609375,100240.9453125,4.520765714531221,93.21398822360216,
Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993,2025-09-11 03:30:00+00:00,0.0,25.839227294921898,629.95849609375,100370.9453125,6.507851706947847,91.52910036947866,
Mumbai,"Worli, Mumbai - MPCB",18.9936162,72.8128113,2025-12-13 06:00:00+00:00,42.32,25.839227294921898,629.95849609375,100370.9453125,6.507851706947847,91.52910036947866,0.2045858502388
Delhi,"Vasundhara, Ghaziabad - UPPCB",28.6603346,77.3572563,2025-08-08 12:15:00+00:00,44.0,33.0362487792969,236.6097412109375,97799.25,0.7998305883918045,68.13641200105943,
Mumbai,"Kandivali West, Mumbai - BMC",19.215859,72.831718,2025-09-10 10:00:00+00:00,11.87,26.011102294921898,628.83349609375,100113.9453125,4.850182141788759,93.87583261349012,
Delhi,"ITO, New Delhi - CPCB",28.628624,77.24106,2025-08-06 19:30:00+00:00,37.0,28.630212402343773,109.74844360351562,97750.625,1.922207247913141,83.31956613469774,
Mumbai,"Deonar, Mumbai - IITM",19.04946,72.923,2026-03-02 19:15:00+00:00,92.98,25.407586669921898,505.20849609375,100240.9453125,4.520765714531221,93.21398822360216,
Mumbai,"Upvan Fort, Thane - MPCB",19.222279,72.957979,2025-10-12 07:45:00+00:00,83.16,25.743524169921898,518.70849609375,100250.9453125,3.368684028873759,95.40892446688406,0.3980314433574676
Mumbai,"Bhayandar West, Mira-Bhayandar - MPCB",19.296481,72.840923,2025-12-04 10:00:00+00:00,45.27,26.011102294921898,628.83349609375,100113.9453125,4.850182141788759,93.87583261349012,
Bhubaneswar,"Patia, Bhubaneswar - OSPCB",20.34652,85.8163,2025-12-06 00:30:00+00:00,62.0,26.430810546875023,86.33360290527344,99655.9375,1.2951369068387346,95.46516280566564,
Mumbai,"Upvan Fort, Thane - MPCB",19.222279,72.957979,2025-09-08 02:15:00+00:00,13.79,25.743524169921898,518.70849609375,100250.9453125,3.368684028873759,95.40892446688406,
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,2025-10-07 21:30:00+00:00,26.0,25.561883544921898,323.20849609375,97430.9453125,2.877309861122454,98.20932882401362,
Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993,2026-01-21 11:30:00+00:00,98.33,25.839227294921898,629.95849609375,100370.9453125,6.507851706947847,91.52910036947866,
Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",19.090337,73.014232,2025-09-12 00:00:00+00:00,78.95,25.407586669921898,505.20849609375,100240.9453125,4.520765714531221,93.21398822360216,
Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",22.627875,88.3804,2025-08-03 01:15:00+00:00,19.74,29.612695312500023,536.498779296875,100316.875,3.735847356249239,90.12527107545732,
Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",22.627875,88.3804,2026-01-10 02:15:00+00:00,103.41,27.598779296875023,93.58360290527344,100068.9375,1.3312617003298586,95.25131197356052,
Mumbai,"Sanpada, Navi Mumbai - MPCB",19.0575752,73.0151367,2025-08-10 16:00:00+00:00,13.28,26.406335449218773,405.7041015625,100622.53125,2.527279769177523,87.74517943637967,
Lucknow,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,2026-02-06 12:30:00+00:00,49.0,26.128076171875023,484.95849609375,98738.9375,3.201426413770895,96.63677458729822,
Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",19.02579,73.10297,2025-11-09 19:00:00+00:00,89.11,25.407586669921898,505.20849609375,100240.9453125,4.520765714531221,93.21398822360216,
Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",22.627875,88.3804,2026-01-09 17:30:00+00:00,143.41,27.598779296875023,93.58360290527344,100068.9375,1.3312617003298586,95.25131197356052,
Kolkata,"Dasnagar, Howrah - WBPCB",22.6025571,88.3105664,2026-01-21 21:30:00+00:00,109.32,27.598779296875023,93.58360290527344,100068.9375,1.3312617003298586,95.25131197356052,
Hyderabad,"Kokapet, Hyderabad - TSPCB",17.393559,78.33919399999999,2026-02-02 19:00:00+00:00,37.79,23.388055419921898,667.8336181640625,94173.9453125,5.124915901449385,90.9659958934684,
Delhi,Air Check,28.623056,77.234167,2026-02-20 11:00:00+00:00,61.70566660563151,25.561883544921898,323.20849609375,97430.9453125,2.877309861122454,98.20932882401362,
Hyderabad,"Kokapet, Hyderabad - TSPCB",17.393559,78.33919399999999,2025-09-14 09:30:00+00:00,25.1,23.388055419921898,667.8336181640625,94173.9453125,5.124915901449385,90.9659958934684,
Mumbai,"Byculla, Mumbai - BMC",18.9767,72.838,2025-11-02 01:00:00+00:00,9.74,25.839227294921898,629.95849609375,100370.9453125,6.507851706947847,91.52910036947866,
Kolkata,"Belur Math, Howrah - WBPCB",22.629801,88.352017,2026-03-05 12:15:00+00:00,41.4,27.598779296875023,93.58360290527344,100068.9375,1.3312617003298586,95.25131197356052,
Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",21.152875,79.0517531,2025-11-11 11:45:00+00:00,60.06,25.018701171875023,349.08349609375,96443.9375,2.354082138933167,93.18415322642574,
Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",19.02579,73.10297,2026-01-02 07:15:00+00:00,24.92,25.407586669921898,505.20849609375,100240.9453125,4.520765714531221,93.21398822360216,0.6037313342094421
Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",19.02579,73.10297,2026-01-21 16:30:00+00:00,39.52,25.407586669921898,505.20849609375,100240.9453125,4.520765714531221,93.21398822360216,
Delhi,"Sector 1, Noida extension",28.583491,77.431714,2025-11-01 12:00:00+00:00,182.7428750991821,25.561883544921898,323.20849609375,97430.9453125,2.877309861122454,98.20932882401362,
Mumbai,"Ghatkopar, Mumbai - BMC",19.083694,72.920967,2026-02-01 00:00:00+00:00,62.4,25.407586669921898,505.20849609375,100240.9453125,4.520765714531221,93.21398822360216,
Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",8.5149093,76.9435879,2025-08-04 03:15:00+00:00,5.0,24.8049255371094,686.569580078125,99338.125,4.961409274613379,83.64766186748729,
Nagpur,"Mahal, Nagpur - MPCB",21.14472,79.107595,2026-03-01 23:45:00+00:00,46.18,25.018701171875023,349.08349609375,96443.9375,2.354082138933167,93.18415322642574,
Bhubaneswar,"Patia, Bhubaneswar - OSPCB",20.34652,85.8163,2026-01-21 15:15:00+00:00,151.0,26.430810546875023,86.33360290527344,99655.9375,1.2951369068387346,95.46516280566564,
Delhi,"Sector - 62, Noida, UP - IMD",28.6245479,77.3577104,2025-09-02 14:30:00+00:00,0.15,25.561883544921898,323.20849609375,97430.9453125,2.877309861122454,98.20932882401362,
Mumbai,"Borivali East, Mumbai - IITM",19.23241,72.86895,2026-01-01 15:00:00+00:00,14.24,26.011102294921898,628.83349609375,100113.9453125,4.850182141788759,93.87583261349012,
Delhi,"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053,2025-08-04 22:00:00+00:00,24.85,27.672998046875023,370.834228515625,97500.453125,2.908908084646908,87.74484171389518,
Delhi,"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,2026-03-07 19:30:00+00:00,127.04,25.542352294921898,399.95849609375,97439.9453125,3.3450370431806973,98.35757781767131,
Hyderabad,"Central University, Hyderabad - TSPCB",17.460103,78.334361,2025-12-03 17:00:00+00:00,56.0,23.388055419921898,667.8336181640625,94173.9453125,5.124915901449385,90.9659958934684,
Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",12.921418,77.502466,2025-12-07 11:30:00+00:00,38.49,21.374383544921898,796.95849609375,91173.9453125,4.225358964327853,92.39654037436505,
